img_id,split,global_acc,bg_precision,bg_recall,bg_f1,bg_dice,bg_boundary_f1,crop_precision,crop_recall,crop_f1,crop_dice,crop_boundary_f1,weed_precision,weed_recall,weed_f1,weed_dice,weed_boundary_f1,weed_gt_count,weed_pred_count,weed_hit,weed_miss,weed_false_pos,weed_det_rate,weed_fa_rate,weed_centroid_dist,weed_size_ratio,crop_gt_count,crop_pred_count,crop_det_rate,crop_fa_rate
bonirob_2016-05-23-11-12-51_7_frame0_rot15,train,0.9974288940425883,0.9990733603066702,0.9982360711473925,0.998654490227662,0.998654490227662,0.8845775127410889,0.962469219657277,0.979942941117144,0.971127434574207,0.971127434574207,0.9001072645187378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame226_crop,train,0.9885215759273572,0.993324066283337,0.9929199899440122,0.9931219370115579,0.9931219370115579,0.8610345125198364,0.9781952448644607,0.9801759911979896,0.9791845663427415,0.9791845663427415,0.8870924711227417,0.7994056463358276,0.8013106940482184,0.800356986572512,0.800356986572512,0.7290017008781433,7,14,7,0,0,0.9999999857142858,0.0,3.989015482134063,0.7984764097373789,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame305_crop,train,0.9729118347164257,0.9903744279881019,0.9781021247791609,0.9841999710591828,0.9841999710591828,0.8080035448074341,0.964470812868491,0.9830402446584899,0.9736669494126673,0.9736669494126673,0.8657821416854858,0.8268743914281329,0.9163105874188946,0.869298123905801,0.869298123905801,0.7624865174293518,8,22,8,0,0,0.9999999875000002,0.0,11.640501914072527,0.9792271587708552,1,1,0.9999999000000099,0.0
bonirob_2016-05-23-10-47-22_2_frame189_hflip,train,0.9911003112789188,0.9976878416167267,0.9924362535563169,0.9950550685774647,0.9950550685774647,0.8315814137458801,0.9613887660284768,0.9854027834399319,0.9732476161699455,0.9732476161699455,0.8699675798416138,0.7847744360717863,0.9376754631965841,0.8544384256855252,0.8544384256855252,0.7531469464302063,4,6,4,0,0,0.9999999750000006,0.0,9.40965539133428,0.9672728647205706,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame302_brightness,train,0.9686546325679899,0.9911094061551275,0.9746782966300018,0.9828251313764433,0.9828251313764433,0.75126051902771,0.8685285456362826,0.971006796931064,0.9169131527734689,0.9169131527734689,0.7885355353355408,0.6719444444397781,0.8405142459968683,0.7468353936533149,0.7468353936533149,0.6934906840324402,8,15,8,0,0,0.9999999875000002,0.0,29.159696508832955,2.301251048236226,1,1,0.9999999000000099,0.0
bonirob_2016-05-23-10-42-16_1_frame55_noise,train,0.9908218383785283,0.997136086575935,0.9927330532526767,0.9949296485634532,0.9949296485634532,0.8191575407981873,0.9323104693084698,0.973365161122097,0.9523955368516149,0.9523955368516149,0.8799039125442505,0.9313602731823407,0.969890943563657,0.950235127989875,0.950235127989875,0.7710093855857849,2,2,2,0,0,0.9999999500000026,0.0,1.5395326215700706,1.1697621209005344,3,3,0.9999999666666678,0.0
bonirob_2016-05-23-10-42-16_1_frame90_hue,train,0.983154296874625,0.9929637706474403,0.9893599142066596,0.9911585165290017,0.9911585165290017,0.8270050287246704,0.9143542308696693,0.9552612741247223,0.9343601810432159,0.9343601810432159,0.8646352887153625,0.7639812279940947,0.8272284564807618,0.7943478203565789,0.7943478203565789,0.7456619739532471,9,14,9,0,0,0.9999999888888891,0.0,43.459959662716614,3.6074750024510607,1,1,0.9999999000000099,0.0
bonirob_2016-05-09-10-49-56_6_frame75_vflip,train,0.9959411621089951,0.9986608300527545,0.9972250242516658,0.9979423607052949,0.9979423607052949,0.7943288087844849,0.8288920054938441,0.9022900761981237,0.8640350376828583,0.8640350376828583,0.8324448466300964,0.8053559764596553,0.8973799126310997,0.8488811893595084,0.8488811893595084,0.7437195777893066,4,4,4,0,0,0.9999999750000006,0.0,5.6662443917227385,1.1186122054812149,1,1,0.9999999000000099,0.0
bonirob_2016-05-23-10-42-16_1_frame2_crop,train,0.9950714111324329,0.9974047923229121,0.9974207708046484,0.9974127314997892,0.9974127314997892,0.8184191584587097,0.9557789766147149,0.9492612437006879,0.9525089105663054,0.9525089105663054,0.883915364742279,0.5296803650549405,0.8345323735003365,0.6480446448721985,0.6480446448721985,0.4475267827510834,1,1,1,0,0,0.9999999000000099,0.0,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-52-28_3_frame141_hflip,train,0.9748039245601751,0.9891618435151172,0.9826362122492077,0.9858881796512977,0.9858881796512977,0.8055406212806702,0.0,0.0,0.0,0.0,0.0,0.85889804111283,0.9075516547781768,0.8825547607533359,0.8825547607533359,0.7342211604118347,10,25,10,0,0,0.9999999900000002,0.0,10.926249251017044,0.8289842612132887,0,0,0.0,0.0
bonirob_2016-05-23-11-07-45_6_frame259,train,0.9929962158199337,0.9976550042205671,0.99453412558718,0.9960920703862323,0.9960920703862323,0.8309416174888611,0.9534091732448612,0.979528027987123,0.9662920848370444,0.9662920848370444,0.8724892139434814,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,3,3,0.9999999666666678,0.0
bonirob_2016-05-23-10-47-22_2_frame118_crop,train,0.9898986816402474,0.9963553622484006,0.9930041581706484,0.9946768875502512,0.9946768875502512,0.8319875001907349,0.9699757869131963,0.9719762222373896,0.9709749242353949,0.9709749242353949,0.8689822554588318,0.7317904556739901,0.8581948243034253,0.7899679952314833,0.7899679952314833,0.7485842108726501,3,11,3,0,0,0.9999999666666678,0.0,34.97146874497958,0.7533629622119543,2,3,0.9999999500000026,0.0
_2016-05-27-10-26-48_5_frame237_hue,train,0.9942016601558707,0.9982562078161206,0.995400717204155,0.996826367567973,0.996826367567973,0.8488117456436157,0.9528096729255705,0.9813205518680285,0.966854923967232,0.966854923967232,0.870978593826294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-11-07-45_6_frame260_brightness,train,0.9935722351070428,0.9978373404873088,0.9949327583024333,0.9963828825934296,0.9963828825934296,0.8429063558578491,0.9600135317964816,0.9825837055469596,0.9711674522706724,0.9711674522706724,0.8675236701965332,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-11-07-45_6_frame246,train,0.9946022033687613,0.9988541121001674,0.9953712577532471,0.9971095935769262,0.9971095935769262,0.810837984085083,0.9362072841673998,0.9834681466553494,0.9592559032627115,0.9592559032627115,0.8820355534553528,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,4,4,0.9999999750000006,0.0
bonirob_2016-05-23-10-42-16_1_frame208,train,0.9803504943843917,0.9918855405650839,0.9850476164874956,0.9884547028347763,0.9884547028347763,0.803472638130188,0.9393354769531792,0.9641970263698356,0.9516038465123736,0.9516038465123736,0.8325516581535339,0.8239147187153363,0.9049231203145024,0.8625209585015469,0.8625209585015469,0.7629328370094299,8,10,8,0,0,0.9999999875000002,0.0,21.432145997035935,1.9319170114801476,3,4,0.9999999666666678,0.0
bonirob_2016-05-23-10-57-33_4_frame18_crop,train,0.9847564697261868,0.9950224174958574,0.9887322686398429,0.9918673205720312,0.9918673205720312,0.7776346802711487,0.0,0.0,0.0,0.0,0.0,0.8389771541178304,0.9222972972914183,0.8786663738631674,0.8786663738631674,0.7763389348983765,10,13,10,0,1,0.9999999900000002,0.07692307633136096,40.17820884540014,30.97329047531336,0,0,0.0,0.0
bonirob_2016-05-23-10-42-16_1_frame29_rot15,train,0.9891395568843883,0.9957716963028093,0.9925311884434534,0.9941487517063775,0.9941487517063775,0.8637878894805908,0.9487148690790973,0.9794779589498451,0.9638509612633697,0.9638509612633697,0.8876532316207886,0.6291746640833331,0.7019271948307526,0.6635627031589394,0.6635627031589394,0.6995996236801147,7,11,7,0,1,0.9999999857142858,0.09090909008264464,12.67119819713489,1.0025547233872878,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame210_vflip,train,0.9758644104000184,0.9894423785226468,0.9827734976883192,0.9860966129783902,0.9860966129783902,0.8223893046379089,0.9544003647934549,0.9802513464952765,0.9671530941385953,0.9671530941385953,0.8564765453338623,0.7311196003454684,0.7964148527443831,0.7623716369228581,0.7623716369228581,0.7102906703948975,6,18,6,0,0,0.9999999833333336,0.0,8.936596687931486,1.0103757539116176,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-52-28_3_frame277_rot15,train,0.9902572631832159,0.9961797179890584,0.993817523017599,0.9949971685001807,0.9949971685001807,0.8232593536376953,0.8453935756849491,0.9037735848715558,0.8736092879775093,0.8736092879775093,0.810875415802002,0.7378328741795722,0.8171878972586528,0.7754855334146754,0.7754855334146754,0.7469576001167297,6,15,6,0,0,0.9999999833333336,0.0,30.299368410318568,0.49661814687614736,2,4,0.9999999500000026,0.0
bonirob_2016-05-09-11-10-10_10_frame165_rot15,train,0.9915199279781374,0.9964657534242676,0.9948420777044922,0.9956532036067811,0.9956532036067811,0.8001971244812012,0.8140575079352039,0.9099999999349999,0.8593591406533703,0.8593591406533703,0.8035297989845276,0.7974010631857177,0.8390304536805671,0.8176862007729685,0.8176862007729685,0.7924078702926636,4,6,4,0,0,0.9999999750000006,0.0,28.03733819058173,5.608063884202936,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame282_crop,train,0.9751167297359561,0.9917632089997581,0.979648534826371,0.9856685985062008,0.9856685985062008,0.7823048233985901,0.9082488694810283,0.9634763621895541,0.9350477892494186,0.9350477892494186,0.8110194802284241,0.7146614069573527,0.8439440993625011,0.7739408545666259,0.7739408545666259,0.7304096221923828,8,10,8,0,0,0.9999999875000002,0.0,21.860509545707643,2.3959256265945315,2,4,0.9999999500000026,0.0
bonirob_2016-05-18-10-59-09_4_frame86_hflip,train,0.9956970214839952,0.9983991760343485,0.9971015301684074,0.9977498811810314,0.9977498811810314,0.8400360345840454,0.9375858516403023,0.964582229279592,0.9508924184388862,0.9508924184388862,0.8505496382713318,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-52-28_3_frame123_rot15,train,0.9776153564449396,0.991013216567801,0.9854529010153013,0.9882251874817917,0.9882251874817917,0.8221883773803711,0.8344895936157339,0.921225382881771,0.8757149786776357,0.8757149786776357,0.8215218186378479,0.7166523605088699,0.7998658746809746,0.7559760457612316,0.7559760457612316,0.7222265005111694,13,43,13,0,0,0.9999999923076924,0.0,24.86465356705935,0.862624148208621,1,2,0.9999999000000099,0.0
bonirob_2016-05-23-10-42-16_1_frame105_vflip,train,0.9887809753414197,0.9966694170830984,0.9907468718356349,0.9936992698007813,0.9936992698007813,0.808857262134552,0.9526663593017033,0.9844370335041113,0.9682911090224796,0.9682911090224796,0.8520197868347168,0.7272196261469854,0.8666898711845914,0.7908527373991628,0.7908527373991628,0.7545018792152405,4,10,4,0,0,0.9999999750000006,0.0,25.424214976026903,0.5212648751998266,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame279_rot15,train,0.9880523681636856,0.9958399334385367,0.9916906334394278,0.9937609022629255,0.9937609022629255,0.7902262210845947,0.9275362318663705,0.9505569669542592,0.938905461040448,0.938905461040448,0.8326900601387024,0.7520278099543449,0.8675020885402256,0.8056481774121496,0.8056481774121496,0.7485466003417969,5,8,5,0,0,0.9999999800000003,0.0,3.3104423572320862,1.5213359446355401,1,2,0.9999999000000099,0.0
