approach,mIoU,global_acc,mClassAcc,IoU_BG,IoU_Crop,IoU_Weed,Acc_BG,Acc_Crop,Acc_Weed,F1_BG,F1_Crop,F1_Weed,mPrec,mRec
Harsh,0.8559,0.9868,0.9181,0.9898,0.8778,0.7001,0.9948,0.9374,0.8219,0.9949,0.9350,0.8236,0.9175,0.9181
Soft+PP,0.8550,0.9867,0.9155,0.9896,0.8783,0.6971,0.9949,0.9374,0.8143,0.9948,0.9352,0.8215,0.9189,0.9155
