Epoch 1: Train Loss=0.1866, Train IoU=0.6052, Val Loss=0.1315, Val IoU=0.6894, LR=4.88e-05
Epoch 2: Train Loss=0.1338, Train IoU=0.6862, Val Loss=0.1237, Val IoU=0.7107, LR=4.73e-05
Epoch 3: Train Loss=0.1240, Train IoU=0.7018, Val Loss=0.1214, Val IoU=0.7080, LR=4.53e-05
Epoch 4: Train Loss=0.1208, Train IoU=0.7072, Val Loss=0.1085, Val IoU=0.7320, LR=4.28e-05
Epoch 5: Train Loss=0.1141, Train IoU=0.7194, Val Loss=0.1084, Val IoU=0.7337, LR=3.99e-05
Epoch 6: Train Loss=0.1102, Train IoU=0.7273, Val Loss=0.1063, Val IoU=0.7386, LR=3.66e-05
Epoch 7: Train Loss=0.1094, Train IoU=0.7271, Val Loss=0.1021, Val IoU=0.7424, LR=3.31e-05
Epoch 8: Train Loss=0.1069, Train IoU=0.7342, Val Loss=0.0979, Val IoU=0.7521, LR=2.93e-05
Epoch 9: Train Loss=0.1051, Train IoU=0.7359, Val Loss=0.1010, Val IoU=0.7465, LR=2.55e-05
Epoch 10: Train Loss=0.1028, Train IoU=0.7404, Val Loss=0.0971, Val IoU=0.7547, LR=2.17e-05
Epoch 11: Train Loss=0.1021, Train IoU=0.7427, Val Loss=0.0961, Val IoU=0.7571, LR=1.79e-05
Epoch 12: Train Loss=0.0983, Train IoU=0.7472, Val Loss=0.0956, Val IoU=0.7571, LR=1.44e-05
Epoch 13: Train Loss=0.0998, Train IoU=0.7469, Val Loss=0.0943, Val IoU=0.7604, LR=1.11e-05
Epoch 14: Train Loss=0.0980, Train IoU=0.7492, Val Loss=0.0926, Val IoU=0.7649, LR=8.18e-06
Epoch 15: Train Loss=0.0957, Train IoU=0.7557, Val Loss=0.0923, Val IoU=0.7654, LR=5.68e-06
Epoch 16: Train Loss=0.0954, Train IoU=0.7540, Val Loss=0.0923, Val IoU=0.7647, LR=3.67e-06
Epoch 17: Train Loss=0.0966, Train IoU=0.7540, Val Loss=0.0918, Val IoU=0.7659, LR=2.20e-06
Epoch 18: Train Loss=0.0935, Train IoU=0.7587, Val Loss=0.0910, Val IoU=0.7684, LR=1.30e-06
Epoch 19: Train Loss=0.0939, Train IoU=0.7575, Val Loss=0.0912, Val IoU=0.7681, LR=1.00e-06
Epoch 20: Train Loss=0.1033, Train IoU=0.7402, Val Loss=0.0979, Val IoU=0.7517, LR=4.99e-05
Epoch 21: Train Loss=0.1023, Train IoU=0.7411, Val Loss=0.1012, Val IoU=0.7421, LR=4.97e-05
Epoch 22: Train Loss=0.1012, Train IoU=0.7446, Val Loss=0.1101, Val IoU=0.7366, LR=4.93e-05
Epoch 23: Train Loss=0.0995, Train IoU=0.7481, Val Loss=0.0947, Val IoU=0.7609, LR=4.88e-05
Epoch 24: Train Loss=0.1002, Train IoU=0.7446, Val Loss=0.0926, Val IoU=0.7630, LR=4.81e-05
Epoch 25: Train Loss=0.0976, Train IoU=0.7506, Val Loss=0.0915, Val IoU=0.7664, LR=4.73e-05
