Epoch 1: Train Loss=0.1906, Train IoU=0.6439, Val Loss=0.1058, Val IoU=0.7688, LR=4.88e-05
Epoch 2: Train Loss=0.1145, Train IoU=0.7475, Val Loss=0.0850, Val IoU=0.7980, LR=4.73e-05
Epoch 3: Train Loss=0.1024, Train IoU=0.7673, Val Loss=0.0714, Val IoU=0.8264, LR=4.53e-05
Epoch 4: Train Loss=0.0959, Train IoU=0.7785, Val Loss=0.0710, Val IoU=0.8330, LR=4.28e-05
Epoch 5: Train Loss=0.0928, Train IoU=0.7837, Val Loss=0.0707, Val IoU=0.8297, LR=3.99e-05
Epoch 6: Train Loss=0.0874, Train IoU=0.7944, Val Loss=0.0791, Val IoU=0.8089, LR=3.66e-05
Epoch 7: Train Loss=0.0856, Train IoU=0.7985, Val Loss=0.0692, Val IoU=0.8280, LR=3.31e-05
Epoch 8: Train Loss=0.0829, Train IoU=0.8027, Val Loss=0.0584, Val IoU=0.8508, LR=2.93e-05
Epoch 9: Train Loss=0.0799, Train IoU=0.8083, Val Loss=0.0572, Val IoU=0.8540, LR=2.55e-05
Epoch 10: Train Loss=0.0764, Train IoU=0.8156, Val Loss=0.0602, Val IoU=0.8462, LR=2.17e-05
Epoch 11: Train Loss=0.0748, Train IoU=0.8186, Val Loss=0.0545, Val IoU=0.8598, LR=1.79e-05
Epoch 12: Train Loss=0.0730, Train IoU=0.8223, Val Loss=0.0553, Val IoU=0.8583, LR=1.44e-05
Epoch 13: Train Loss=0.0710, Train IoU=0.8263, Val Loss=0.0526, Val IoU=0.8657, LR=1.11e-05
Epoch 14: Train Loss=0.0704, Train IoU=0.8277, Val Loss=0.0532, Val IoU=0.8632, LR=8.19e-06
Epoch 15: Train Loss=0.0699, Train IoU=0.8287, Val Loss=0.0516, Val IoU=0.8672, LR=5.69e-06
Epoch 16: Train Loss=0.0680, Train IoU=0.8321, Val Loss=0.0532, Val IoU=0.8646, LR=3.68e-06
Epoch 17: Train Loss=0.0676, Train IoU=0.8329, Val Loss=0.0515, Val IoU=0.8680, LR=2.20e-06
Epoch 18: Train Loss=0.0673, Train IoU=0.8335, Val Loss=0.0517, Val IoU=0.8674, LR=1.30e-06
Epoch 19: Train Loss=0.0671, Train IoU=0.8346, Val Loss=0.0518, Val IoU=0.8674, LR=1.00e-06
Epoch 20: Train Loss=0.0756, Train IoU=0.8176, Val Loss=0.0659, Val IoU=0.8341, LR=4.99e-05
Epoch 21: Train Loss=0.0787, Train IoU=0.8111, Val Loss=0.0552, Val IoU=0.8591, LR=4.97e-05
Epoch 22: Train Loss=0.0753, Train IoU=0.8173, Val Loss=0.0571, Val IoU=0.8552, LR=4.93e-05
Epoch 23: Train Loss=0.0729, Train IoU=0.8216, Val Loss=0.0572, Val IoU=0.8531, LR=4.88e-05
Epoch 24: Train Loss=0.0733, Train IoU=0.8214, Val Loss=0.0542, Val IoU=0.8611, LR=4.81e-05
Epoch 25: Train Loss=0.0717, Train IoU=0.8245, Val Loss=0.0507, Val IoU=0.8680, LR=4.73e-05
Epoch 26: Train Loss=0.0695, Train IoU=0.8305, Val Loss=0.0541, Val IoU=0.8603, LR=4.64e-05
Epoch 27: Train Loss=0.0680, Train IoU=0.8326, Val Loss=0.0600, Val IoU=0.8476, LR=4.53e-05
Epoch 28: Train Loss=0.0668, Train IoU=0.8350, Val Loss=0.0500, Val IoU=0.8708, LR=4.41e-05
Epoch 29: Train Loss=0.0667, Train IoU=0.8350, Val Loss=0.0544, Val IoU=0.8583, LR=4.28e-05
Epoch 30: Train Loss=0.0650, Train IoU=0.8390, Val Loss=0.0530, Val IoU=0.8628, LR=4.14e-05
Epoch 31: Train Loss=0.0654, Train IoU=0.8387, Val Loss=0.0521, Val IoU=0.8641, LR=3.99e-05
Epoch 32: Train Loss=0.0631, Train IoU=0.8422, Val Loss=0.0511, Val IoU=0.8674, LR=3.83e-05
Epoch 33: Train Loss=0.0621, Train IoU=0.8445, Val Loss=0.0503, Val IoU=0.8700, LR=3.66e-05
Epoch 34: Train Loss=0.0617, Train IoU=0.8464, Val Loss=0.0473, Val IoU=0.8760, LR=3.49e-05
Epoch 35: Train Loss=0.0599, Train IoU=0.8496, Val Loss=0.0508, Val IoU=0.8680, LR=3.31e-05
Epoch 36: Train Loss=0.0606, Train IoU=0.8486, Val Loss=0.0483, Val IoU=0.8743, LR=3.12e-05
Epoch 37: Train Loss=0.0581, Train IoU=0.8533, Val Loss=0.0510, Val IoU=0.8678, LR=2.93e-05
Epoch 38: Train Loss=0.0589, Train IoU=0.8512, Val Loss=0.0483, Val IoU=0.8734, LR=2.74e-05
Epoch 39: Train Loss=0.0559, Train IoU=0.8580, Val Loss=0.0543, Val IoU=0.8600, LR=2.55e-05
Epoch 40: Train Loss=0.0570, Train IoU=0.8555, Val Loss=0.0480, Val IoU=0.8735, LR=2.36e-05
Epoch 41: Train Loss=0.0566, Train IoU=0.8563, Val Loss=0.0473, Val IoU=0.8759, LR=2.17e-05
Epoch 42: Train Loss=0.0544, Train IoU=0.8609, Val Loss=0.0559, Val IoU=0.8571, LR=1.98e-05
Epoch 43: Train Loss=0.0539, Train IoU=0.8622, Val Loss=0.0457, Val IoU=0.8802, LR=1.79e-05
Epoch 44: Train Loss=0.0529, Train IoU=0.8647, Val Loss=0.0472, Val IoU=0.8760, LR=1.61e-05
Epoch 45: Train Loss=0.0520, Train IoU=0.8662, Val Loss=0.0468, Val IoU=0.8766, LR=1.44e-05
Epoch 46: Train Loss=0.0531, Train IoU=0.8635, Val Loss=0.0468, Val IoU=0.8785, LR=1.27e-05
Epoch 47: Train Loss=0.0522, Train IoU=0.8660, Val Loss=0.0450, Val IoU=0.8817, LR=1.11e-05
Epoch 48: Train Loss=0.0514, Train IoU=0.8683, Val Loss=0.0454, Val IoU=0.8811, LR=9.59e-06
Epoch 49: Train Loss=0.0510, Train IoU=0.8687, Val Loss=0.0453, Val IoU=0.8816, LR=8.18e-06
Epoch 50: Train Loss=0.0488, Train IoU=0.8734, Val Loss=0.0462, Val IoU=0.8791, LR=6.87e-06
Epoch 51: Train Loss=0.0503, Train IoU=0.8700, Val Loss=0.0457, Val IoU=0.8795, LR=5.68e-06
Epoch 52: Train Loss=0.0500, Train IoU=0.8708, Val Loss=0.0458, Val IoU=0.8801, LR=4.61e-06
Epoch 53: Train Loss=0.0489, Train IoU=0.8730, Val Loss=0.0450, Val IoU=0.8817, LR=3.67e-06
Epoch 54: Train Loss=0.0486, Train IoU=0.8736, Val Loss=0.0454, Val IoU=0.8811, LR=2.87e-06
Epoch 55: Train Loss=0.0484, Train IoU=0.8745, Val Loss=0.0466, Val IoU=0.8776, LR=2.20e-06
Epoch 56: Train Loss=0.0494, Train IoU=0.8720, Val Loss=0.0453, Val IoU=0.8813, LR=1.68e-06
Epoch 57: Train Loss=0.0490, Train IoU=0.8729, Val Loss=0.0451, Val IoU=0.8818, LR=1.30e-06
Epoch 58: Train Loss=0.0482, Train IoU=0.8748, Val Loss=0.0453, Val IoU=0.8813, LR=1.08e-06
Epoch 59: Train Loss=0.0490, Train IoU=0.8730, Val Loss=0.0453, Val IoU=0.8815, LR=1.00e-06
Epoch 60: Train Loss=0.0605, Train IoU=0.8486, Val Loss=0.0540, Val IoU=0.8606, LR=5.00e-05
Epoch 61: Train Loss=0.0611, Train IoU=0.8488, Val Loss=0.0458, Val IoU=0.8800, LR=4.99e-05
Epoch 62: Train Loss=0.0583, Train IoU=0.8528, Val Loss=0.0488, Val IoU=0.8715, LR=4.98e-05
Epoch 63: Train Loss=0.0571, Train IoU=0.8556, Val Loss=0.0500, Val IoU=0.8684, LR=4.97e-05
Epoch 64: Train Loss=0.0558, Train IoU=0.8576, Val Loss=0.0489, Val IoU=0.8720, LR=4.95e-05
Epoch 65: Train Loss=0.0577, Train IoU=0.8539, Val Loss=0.0467, Val IoU=0.8779, LR=4.93e-05
Epoch 66: Train Loss=0.0554, Train IoU=0.8590, Val Loss=0.0503, Val IoU=0.8699, LR=4.91e-05
Epoch 67: Train Loss=0.0549, Train IoU=0.8599, Val Loss=0.0476, Val IoU=0.8764, LR=4.88e-05
Epoch 68: Train Loss=0.0527, Train IoU=0.8650, Val Loss=0.0524, Val IoU=0.8633, LR=4.85e-05
Epoch 69: Train Loss=0.0514, Train IoU=0.8672, Val Loss=0.0478, Val IoU=0.8750, LR=4.81e-05
Epoch 70: Train Loss=0.0528, Train IoU=0.8645, Val Loss=0.0494, Val IoU=0.8710, LR=4.78e-05
Epoch 71: Train Loss=0.0521, Train IoU=0.8664, Val Loss=0.0754, Val IoU=0.8142, LR=4.73e-05
Epoch 72: Train Loss=0.0518, Train IoU=0.8671, Val Loss=0.0523, Val IoU=0.8655, LR=4.69e-05
Epoch 73: Train Loss=0.0522, Train IoU=0.8663, Val Loss=0.0620, Val IoU=0.8477, LR=4.64e-05
Epoch 74: Train Loss=0.0517, Train IoU=0.8665, Val Loss=0.0532, Val IoU=0.8613, LR=4.59e-05
Epoch 75: Train Loss=0.0496, Train IoU=0.8714, Val Loss=0.0520, Val IoU=0.8660, LR=4.53e-05
Epoch 76: Train Loss=0.0511, Train IoU=0.8678, Val Loss=0.0471, Val IoU=0.8777, LR=4.47e-05
Epoch 77: Train Loss=0.0495, Train IoU=0.8718, Val Loss=0.0519, Val IoU=0.8684, LR=4.41e-05
Epoch 78: Train Loss=0.0506, Train IoU=0.8698, Val Loss=0.0500, Val IoU=0.8700, LR=4.35e-05
Epoch 79: Train Loss=0.0487, Train IoU=0.8735, Val Loss=0.0469, Val IoU=0.8783, LR=4.28e-05
Epoch 80: Train Loss=0.0483, Train IoU=0.8742, Val Loss=0.0432, Val IoU=0.8865, LR=4.21e-05
Epoch 81: Train Loss=0.0472, Train IoU=0.8769, Val Loss=0.0442, Val IoU=0.8834, LR=4.14e-05
Epoch 82: Train Loss=0.0463, Train IoU=0.8791, Val Loss=0.0474, Val IoU=0.8765, LR=4.07e-05
Epoch 83: Train Loss=0.0459, Train IoU=0.8801, Val Loss=0.0438, Val IoU=0.8846, LR=3.99e-05
Epoch 84: Train Loss=0.0466, Train IoU=0.8784, Val Loss=0.0483, Val IoU=0.8754, LR=3.91e-05
Epoch 85: Train Loss=0.0463, Train IoU=0.8796, Val Loss=0.0533, Val IoU=0.8632, LR=3.83e-05
Epoch 86: Train Loss=0.0452, Train IoU=0.8817, Val Loss=0.0521, Val IoU=0.8675, LR=3.75e-05
Epoch 87: Train Loss=0.0449, Train IoU=0.8821, Val Loss=0.0435, Val IoU=0.8853, LR=3.66e-05
Epoch 88: Train Loss=0.0453, Train IoU=0.8810, Val Loss=0.0529, Val IoU=0.8661, LR=3.58e-05
Epoch 89: Train Loss=0.0445, Train IoU=0.8826, Val Loss=0.0518, Val IoU=0.8701, LR=3.49e-05
Epoch 90: Train Loss=0.0442, Train IoU=0.8835, Val Loss=0.0463, Val IoU=0.8824, LR=3.40e-05
Epoch 91: Train Loss=0.0441, Train IoU=0.8839, Val Loss=0.0453, Val IoU=0.8826, LR=3.31e-05
Epoch 92: Train Loss=0.0441, Train IoU=0.8837, Val Loss=0.0529, Val IoU=0.8639, LR=3.22e-05
Epoch 93: Train Loss=0.0430, Train IoU=0.8862, Val Loss=0.0461, Val IoU=0.8806, LR=3.12e-05
Epoch 94: Train Loss=0.0430, Train IoU=0.8866, Val Loss=0.0432, Val IoU=0.8877, LR=3.03e-05
Epoch 95: Train Loss=0.0425, Train IoU=0.8876, Val Loss=0.0517, Val IoU=0.8694, LR=2.93e-05
Epoch 96: Train Loss=0.0410, Train IoU=0.8910, Val Loss=0.0458, Val IoU=0.8839, LR=2.84e-05
Epoch 97: Train Loss=0.0417, Train IoU=0.8894, Val Loss=0.0458, Val IoU=0.8816, LR=2.74e-05
Epoch 98: Train Loss=0.0418, Train IoU=0.8893, Val Loss=0.0500, Val IoU=0.8748, LR=2.65e-05
Epoch 99: Train Loss=0.0422, Train IoU=0.8882, Val Loss=0.0432, Val IoU=0.8889, LR=2.55e-05
Epoch 100: Train Loss=0.0422, Train IoU=0.8881, Val Loss=0.0466, Val IoU=0.8844, LR=2.45e-05
Epoch 101: Train Loss=0.0412, Train IoU=0.8903, Val Loss=0.0464, Val IoU=0.8833, LR=2.36e-05
Epoch 102: Train Loss=0.0410, Train IoU=0.8912, Val Loss=0.0433, Val IoU=0.8870, LR=2.26e-05
Epoch 103: Train Loss=0.0394, Train IoU=0.8948, Val Loss=0.0428, Val IoU=0.8894, LR=2.17e-05
Epoch 104: Train Loss=0.0397, Train IoU=0.8935, Val Loss=0.0433, Val IoU=0.8865, LR=2.07e-05
Epoch 105: Train Loss=0.0398, Train IoU=0.8936, Val Loss=0.0425, Val IoU=0.8880, LR=1.98e-05
Epoch 106: Train Loss=0.0399, Train IoU=0.8932, Val Loss=0.0420, Val IoU=0.8904, LR=1.89e-05
Epoch 107: Train Loss=0.0391, Train IoU=0.8951, Val Loss=0.0449, Val IoU=0.8865, LR=1.79e-05
Epoch 108: Train Loss=0.0388, Train IoU=0.8960, Val Loss=0.0523, Val IoU=0.8708, LR=1.70e-05
