Epoch 1: Train Loss=0.1703, Train IoU=0.6338, Val Loss=0.1135, Val IoU=0.7219, LR=4.88e-05
Epoch 2: Train Loss=0.1152, Train IoU=0.7181, Val Loss=0.0981, Val IoU=0.7508, LR=4.73e-05
Epoch 3: Train Loss=0.1063, Train IoU=0.7336, Val Loss=0.0916, Val IoU=0.7624, LR=4.53e-05
Epoch 4: Train Loss=0.1018, Train IoU=0.7415, Val Loss=0.0928, Val IoU=0.7603, LR=4.28e-05
Epoch 5: Train Loss=0.0976, Train IoU=0.7492, Val Loss=0.0909, Val IoU=0.7640, LR=3.99e-05
Epoch 6: Train Loss=0.0946, Train IoU=0.7550, Val Loss=0.0881, Val IoU=0.7697, LR=3.66e-05
Epoch 7: Train Loss=0.0921, Train IoU=0.7596, Val Loss=0.0841, Val IoU=0.7789, LR=3.31e-05
Epoch 8: Train Loss=0.0897, Train IoU=0.7645, Val Loss=0.0804, Val IoU=0.7851, LR=2.93e-05
Epoch 9: Train Loss=0.0862, Train IoU=0.7715, Val Loss=0.0790, Val IoU=0.7895, LR=2.55e-05
Epoch 10: Train Loss=0.0857, Train IoU=0.7723, Val Loss=0.0763, Val IoU=0.7941, LR=2.17e-05
Epoch 11: Train Loss=0.0844, Train IoU=0.7754, Val Loss=0.0764, Val IoU=0.7931, LR=1.79e-05
Epoch 12: Train Loss=0.0821, Train IoU=0.7797, Val Loss=0.0742, Val IoU=0.7987, LR=1.44e-05
Epoch 13: Train Loss=0.0815, Train IoU=0.7813, Val Loss=0.0735, Val IoU=0.8002, LR=1.11e-05
Epoch 14: Train Loss=0.0809, Train IoU=0.7825, Val Loss=0.0740, Val IoU=0.8003, LR=8.18e-06
Epoch 15: Train Loss=0.0797, Train IoU=0.7849, Val Loss=0.0725, Val IoU=0.8023, LR=5.68e-06
Epoch 16: Train Loss=0.0785, Train IoU=0.7873, Val Loss=0.0714, Val IoU=0.8056, LR=3.67e-06
Epoch 17: Train Loss=0.0778, Train IoU=0.7889, Val Loss=0.0709, Val IoU=0.8061, LR=2.20e-06
Epoch 18: Train Loss=0.0775, Train IoU=0.7896, Val Loss=0.0709, Val IoU=0.8064, LR=1.30e-06
Epoch 19: Train Loss=0.0780, Train IoU=0.7888, Val Loss=0.0710, Val IoU=0.8060, LR=1.00e-06
Epoch 20: Train Loss=0.0845, Train IoU=0.7754, Val Loss=0.0806, Val IoU=0.7873, LR=4.99e-05
Epoch 21: Train Loss=0.0860, Train IoU=0.7725, Val Loss=0.0802, Val IoU=0.7871, LR=4.97e-05
Epoch 22: Train Loss=0.0836, Train IoU=0.7775, Val Loss=0.0746, Val IoU=0.7983, LR=4.93e-05
Epoch 23: Train Loss=0.0816, Train IoU=0.7817, Val Loss=0.0761, Val IoU=0.7953, LR=4.88e-05
Epoch 24: Train Loss=0.0816, Train IoU=0.7818, Val Loss=0.0726, Val IoU=0.8032, LR=4.81e-05
Epoch 25: Train Loss=0.0794, Train IoU=0.7862, Val Loss=0.0735, Val IoU=0.8014, LR=4.73e-05
Epoch 26: Train Loss=0.0806, Train IoU=0.7838, Val Loss=0.0718, Val IoU=0.8052, LR=4.64e-05
Epoch 27: Train Loss=0.0783, Train IoU=0.7884, Val Loss=0.0688, Val IoU=0.8113, LR=4.53e-05
Epoch 28: Train Loss=0.0773, Train IoU=0.7906, Val Loss=0.0708, Val IoU=0.8061, LR=4.41e-05
Epoch 29: Train Loss=0.0762, Train IoU=0.7928, Val Loss=0.0700, Val IoU=0.8086, LR=4.28e-05
Epoch 30: Train Loss=0.0774, Train IoU=0.7906, Val Loss=0.0669, Val IoU=0.8149, LR=4.14e-05
Epoch 31: Train Loss=0.0754, Train IoU=0.7947, Val Loss=0.0666, Val IoU=0.8167, LR=3.99e-05
Epoch 32: Train Loss=0.0742, Train IoU=0.7972, Val Loss=0.0728, Val IoU=0.8019, LR=3.83e-05
Epoch 33: Train Loss=0.0741, Train IoU=0.7973, Val Loss=0.0721, Val IoU=0.8048, LR=3.66e-05
Epoch 34: Train Loss=0.0725, Train IoU=0.8010, Val Loss=0.0669, Val IoU=0.8152, LR=3.49e-05
Epoch 35: Train Loss=0.0720, Train IoU=0.8024, Val Loss=0.0679, Val IoU=0.8143, LR=3.31e-05
Epoch 36: Train Loss=0.0715, Train IoU=0.8030, Val Loss=0.0651, Val IoU=0.8192, LR=3.12e-05
Epoch 37: Train Loss=0.0711, Train IoU=0.8041, Val Loss=0.0651, Val IoU=0.8195, LR=2.93e-05
Epoch 38: Train Loss=0.0700, Train IoU=0.8064, Val Loss=0.0647, Val IoU=0.8200, LR=2.74e-05
Epoch 39: Train Loss=0.0701, Train IoU=0.8061, Val Loss=0.0656, Val IoU=0.8179, LR=2.55e-05
Epoch 40: Train Loss=0.0682, Train IoU=0.8102, Val Loss=0.0632, Val IoU=0.8241, LR=2.36e-05
Epoch 41: Train Loss=0.0688, Train IoU=0.8092, Val Loss=0.0627, Val IoU=0.8247, LR=2.17e-05
Epoch 42: Train Loss=0.0684, Train IoU=0.8102, Val Loss=0.0638, Val IoU=0.8219, LR=1.98e-05
Epoch 43: Train Loss=0.0677, Train IoU=0.8117, Val Loss=0.0642, Val IoU=0.8208, LR=1.79e-05
Epoch 44: Train Loss=0.0668, Train IoU=0.8135, Val Loss=0.0623, Val IoU=0.8265, LR=1.61e-05
Epoch 45: Train Loss=0.0669, Train IoU=0.8135, Val Loss=0.0679, Val IoU=0.8136, LR=1.44e-05
Epoch 46: Train Loss=0.0665, Train IoU=0.8141, Val Loss=0.0621, Val IoU=0.8266, LR=1.27e-05
Epoch 47: Train Loss=0.0663, Train IoU=0.8149, Val Loss=0.0613, Val IoU=0.8283, LR=1.11e-05
Epoch 48: Train Loss=0.0650, Train IoU=0.8176, Val Loss=0.0612, Val IoU=0.8283, LR=9.59e-06
Epoch 49: Train Loss=0.0648, Train IoU=0.8181, Val Loss=0.0614, Val IoU=0.8279, LR=8.18e-06
Epoch 50: Train Loss=0.0646, Train IoU=0.8185, Val Loss=0.0614, Val IoU=0.8281, LR=6.87e-06
