Epoch 1: Train Loss=0.1616, Train IoU=0.6618, Val Loss=0.1242, Val IoU=0.7027, LR=4.88e-05
Epoch 2: Train Loss=0.1045, Train IoU=0.7493, Val Loss=0.2492, Val IoU=0.4983, LR=4.73e-05
Epoch 3: Train Loss=0.0951, Train IoU=0.7678, Val Loss=0.0741, Val IoU=0.8033, LR=4.53e-05
Epoch 4: Train Loss=0.0890, Train IoU=0.7793, Val Loss=0.0751, Val IoU=0.8013, LR=4.28e-05
Epoch 5: Train Loss=0.0846, Train IoU=0.7880, Val Loss=0.0670, Val IoU=0.8193, LR=3.99e-05
Epoch 6: Train Loss=0.0824, Train IoU=0.7922, Val Loss=0.0640, Val IoU=0.8272, LR=3.66e-05
Epoch 7: Train Loss=0.0791, Train IoU=0.7987, Val Loss=0.0649, Val IoU=0.8245, LR=3.31e-05
Epoch 8: Train Loss=0.0771, Train IoU=0.8030, Val Loss=0.0634, Val IoU=0.8268, LR=2.93e-05
Epoch 9: Train Loss=0.0733, Train IoU=0.8101, Val Loss=0.0610, Val IoU=0.8328, LR=2.55e-05
Epoch 10: Train Loss=0.0721, Train IoU=0.8131, Val Loss=0.0614, Val IoU=0.8315, LR=2.17e-05
Epoch 11: Train Loss=0.0710, Train IoU=0.8150, Val Loss=0.0597, Val IoU=0.8352, LR=1.79e-05
Epoch 12: Train Loss=0.0681, Train IoU=0.8207, Val Loss=0.0573, Val IoU=0.8415, LR=1.44e-05
Epoch 13: Train Loss=0.0670, Train IoU=0.8226, Val Loss=0.0594, Val IoU=0.8351, LR=1.11e-05
Epoch 14: Train Loss=0.0650, Train IoU=0.8280, Val Loss=0.0586, Val IoU=0.8377, LR=8.18e-06
Epoch 15: Train Loss=0.0644, Train IoU=0.8289, Val Loss=0.0596, Val IoU=0.8351, LR=5.68e-06
Epoch 16: Train Loss=0.0639, Train IoU=0.8298, Val Loss=0.0581, Val IoU=0.8374, LR=3.67e-06
Epoch 17: Train Loss=0.0621, Train IoU=0.8337, Val Loss=0.0584, Val IoU=0.8378, LR=2.20e-06
Epoch 18: Train Loss=0.0610, Train IoU=0.8357, Val Loss=0.0572, Val IoU=0.8405, LR=1.30e-06
Epoch 19: Train Loss=0.0622, Train IoU=0.8344, Val Loss=0.0568, Val IoU=0.8417, LR=1.00e-06
Epoch 20: Train Loss=0.0751, Train IoU=0.8081, Val Loss=0.0659, Val IoU=0.8201, LR=4.99e-05
Epoch 21: Train Loss=0.0714, Train IoU=0.8142, Val Loss=0.0625, Val IoU=0.8295, LR=4.97e-05
Epoch 22: Train Loss=0.0706, Train IoU=0.8162, Val Loss=0.0583, Val IoU=0.8378, LR=4.93e-05
Epoch 23: Train Loss=0.0690, Train IoU=0.8187, Val Loss=0.0569, Val IoU=0.8435, LR=4.88e-05
Epoch 24: Train Loss=0.0677, Train IoU=0.8228, Val Loss=0.0580, Val IoU=0.8392, LR=4.81e-05
Epoch 25: Train Loss=0.0673, Train IoU=0.8230, Val Loss=0.0570, Val IoU=0.8419, LR=4.73e-05
Epoch 26: Train Loss=0.0656, Train IoU=0.8258, Val Loss=0.0585, Val IoU=0.8372, LR=4.64e-05
Epoch 27: Train Loss=0.0648, Train IoU=0.8284, Val Loss=0.0603, Val IoU=0.8332, LR=4.53e-05
Epoch 28: Train Loss=0.0645, Train IoU=0.8296, Val Loss=0.0595, Val IoU=0.8347, LR=4.41e-05
Epoch 29: Train Loss=0.0628, Train IoU=0.8321, Val Loss=0.0545, Val IoU=0.8476, LR=4.28e-05
Epoch 30: Train Loss=0.0627, Train IoU=0.8334, Val Loss=0.0671, Val IoU=0.8172, LR=4.14e-05
Epoch 31: Train Loss=0.0620, Train IoU=0.8346, Val Loss=0.0677, Val IoU=0.8178, LR=3.99e-05
Epoch 32: Train Loss=0.0606, Train IoU=0.8374, Val Loss=0.0594, Val IoU=0.8358, LR=3.83e-05
Epoch 33: Train Loss=0.0593, Train IoU=0.8397, Val Loss=0.0678, Val IoU=0.8186, LR=3.66e-05
Epoch 34: Train Loss=0.0591, Train IoU=0.8407, Val Loss=0.0579, Val IoU=0.8382, LR=3.49e-05
Epoch 35: Train Loss=0.0575, Train IoU=0.8444, Val Loss=0.0521, Val IoU=0.8528, LR=3.31e-05
Epoch 36: Train Loss=0.0563, Train IoU=0.8467, Val Loss=0.0614, Val IoU=0.8294, LR=3.12e-05
Epoch 37: Train Loss=0.0563, Train IoU=0.8478, Val Loss=0.0559, Val IoU=0.8440, LR=2.93e-05
Epoch 38: Train Loss=0.0557, Train IoU=0.8479, Val Loss=0.0552, Val IoU=0.8453, LR=2.74e-05
Epoch 39: Train Loss=0.0547, Train IoU=0.8506, Val Loss=0.0556, Val IoU=0.8438, LR=2.55e-05
Epoch 40: Train Loss=0.0537, Train IoU=0.8527, Val Loss=0.0557, Val IoU=0.8436, LR=2.36e-05
Epoch 41: Train Loss=0.0531, Train IoU=0.8538, Val Loss=0.0581, Val IoU=0.8373, LR=2.17e-05
