image_name,pixel_accuracy,crop_iou,crop_precision,crop_recall,crop_f1,weed_iou,weed_precision,weed_recall,weed_f1
1461247281_542721030,1.0000,0.8000,0.8119,0.9820,0.8889,0.0000,0.0000,0.0000,0.0000
1461247288_542843158,1.0000,0.8374,0.9551,0.8718,0.9115,0.0000,0.0000,0.0000,0.0000
1461247289_542861510,1.0000,0.9011,0.9647,0.9318,0.9480,0.0000,0.0000,0.0000,0.0000
1461247290_542848275,0.9999,0.4675,0.9600,0.4768,0.6372,0.0000,0.0000,0.0000,0.0000
1461247292_542888506,1.0000,0.7929,0.7929,1.0000,0.8845,0.0000,0.0000,0.0000,0.0000
1461247294_542902694,0.9999,0.5193,0.5434,0.9216,0.6836,0.0000,0.0000,0.0000,0.0000
1461247295_542906829,1.0000,0.8007,0.8152,0.9783,0.8893,0.0000,0.0000,0.0000,0.0000
1461247301_543011919,0.9999,0.5860,0.9478,0.6056,0.7390,0.0000,0.0000,0.0000,0.0000
1461247309_543141134,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247311_543166445,1.0000,0.8267,0.8297,0.9957,0.9051,0.0000,0.0000,0.0000,0.0000
1461247318_543274557,1.0000,0.8439,0.8811,0.9524,0.9153,0.0000,0.0000,0.0000,0.0000
1461247324_543361047,1.0000,0.8533,0.9412,0.9014,0.9209,0.0000,0.0000,0.0000,0.0000
1461247325_543373240,1.0000,0.8010,0.8639,0.9167,0.8895,0.0000,0.0000,0.0000,0.0000
1461247330_544648731,0.9999,0.7331,0.7471,0.9750,0.8460,0.0000,0.0000,0.0000,0.0000
1461247344_543631332,1.0000,0.7912,0.8076,0.9751,0.8835,0.0000,0.0000,0.0000,0.0000
1461247346_543660156,1.0000,0.8685,0.9024,0.9585,0.9296,0.0000,0.0000,0.0000,0.0000
1461247355_543818671,0.9999,0.6154,0.8966,0.6624,0.7619,0.0000,0.0000,0.0000,0.0000
1461247361_543910095,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247362_543914255,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247363_543939373,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247364_544011608,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247365_543945355,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247366_543961140,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247367_543990637,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247368_543988322,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247369_543992473,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247370_544022794,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247372_544082663,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247387_544267447,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247405_544546639,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247406_544685744,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247407_544568809,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247408_544565896,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247409_544635509,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247410_544608018,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247411_544606457,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247412_544658790,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247413_544643560,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247428_544879980,1.0000,0.8082,0.8592,0.9316,0.8939,0.0000,0.0000,0.0000,0.0000
1461247429_544883117,0.9999,0.7098,0.7990,0.8641,0.8303,0.0000,0.0000,0.0000,0.0000
1461247458_545297899,1.0000,0.8343,0.8868,0.9338,0.9097,0.0000,0.0000,0.0000,0.0000
1461247464_545396210,1.0000,0.8362,0.8622,0.9652,0.9108,0.0000,0.0000,0.0000,0.0000
1461247465_545402205,1.0000,0.7306,0.9860,0.7382,0.8443,0.0000,0.0000,0.0000,0.0000
1461247466_545425915,1.0000,0.8547,0.9444,0.9000,0.9217,0.0000,0.0000,0.0000,0.0000
1461247469_545461604,1.0000,0.7277,0.7990,0.8907,0.8424,0.0000,0.0000,0.0000,0.0000
1461247470_546755636,0.9999,0.5318,0.9684,0.5412,0.6943,0.0000,0.0000,0.0000,0.0000
1461247481_545661437,0.9999,0.8584,0.8744,0.9792,0.9238,0.0000,0.0000,0.0000,0.0000
1461247483_545687373,1.0000,0.8841,0.9295,0.9477,0.9385,0.0000,0.0000,0.0000,0.0000
1461247497_545878143,0.9999,0.7651,0.7651,1.0000,0.8669,0.0000,0.0000,0.0000,0.0000
1461247498_545889384,1.0000,0.8033,0.8060,0.9959,0.8909,0.0000,0.0000,0.0000,0.0000
1461247501_545942317,1.0000,0.7330,0.8571,0.8351,0.8460,0.0000,0.0000,0.0000,0.0000
1461247502_545926552,1.0000,0.6825,0.8431,0.7818,0.8113,0.0000,0.0000,0.0000,0.0000
1461247510_546075677,0.9999,0.7283,0.7460,0.9686,0.8428,0.0000,0.0000,0.0000,0.0000
1461247511_546079808,1.0000,0.8219,0.9231,0.8824,0.9023,0.0000,0.0000,0.0000,0.0000
1461247513_546114498,1.0000,0.8662,0.8817,0.9801,0.9283,0.0000,0.0000,0.0000,0.0000
1461247520_546210851,1.0000,0.6848,0.9113,0.7338,0.8129,0.0000,0.0000,0.0000,0.0000
1461247522_546258913,0.9999,0.7746,0.8714,0.8746,0.8730,0.0000,0.0000,0.0000,0.0000
1461247529_546352923,0.9999,0.7465,0.8154,0.8983,0.8548,0.0000,0.0000,0.0000,0.0000
1461247530_546362597,0.9998,0.1863,0.3740,0.2707,0.3141,0.0000,0.0000,0.0000,0.0000
1461247531_546378985,0.9997,0.3562,0.9430,0.3640,0.5253,0.0000,0.0000,0.0000,0.0000
1461247532_546395272,0.9999,0.6971,0.7967,0.8480,0.8215,0.0000,0.0000,0.0000,0.0000
1461247534_546521364,0.9999,0.3133,0.9630,0.3171,0.4771,0.0000,0.0000,0.0000,0.0000
1461247535_546414727,0.9999,0.4834,1.0000,0.4834,0.6518,0.0000,0.0000,0.0000,0.0000
1461247537_546503145,0.9999,0.6580,0.8517,0.7432,0.7938,0.0000,0.0000,0.0000,0.0000
1461247539_546504582,0.9999,0.4683,0.8564,0.5082,0.6379,0.0000,0.0000,0.0000,0.0000
1461247541_546522581,1.0000,0.8474,0.8527,0.9927,0.9174,0.0000,0.0000,0.0000,0.0000
1461247542_546536212,0.9995,0.1524,0.2341,0.3038,0.2644,0.0000,0.0000,0.0000,0.0000
1461247544_546556536,0.9998,0.4079,0.4144,0.9627,0.5794,0.0000,0.0000,0.0000,0.0000
1461247547_548183516,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247549_546656365,0.9999,0.5763,0.8293,0.6538,0.7312,0.0000,0.0000,0.0000,0.0000
1461247553_546708829,1.0000,0.7333,0.7901,0.9108,0.8462,0.0000,0.0000,0.0000,0.0000
1461247558_546798501,1.0000,0.7216,0.8383,0.8383,0.8383,0.0000,0.0000,0.0000,0.0000
1461247559_546802765,0.9999,0.6719,0.7725,0.8377,0.8037,0.0000,0.0000,0.0000,0.0000
1461247560_546813632,1.0000,0.6950,0.8035,0.8373,0.8201,0.0000,0.0000,0.0000,0.0000
1461247563_546851881,1.0000,0.7150,0.8000,0.8706,0.8338,0.0000,0.0000,0.0000,0.0000
1461247564_546862989,1.0000,0.7020,0.7765,0.8797,0.8249,0.0000,0.0000,0.0000,0.0000
1461247565_546870458,1.0000,0.7551,0.8177,0.9080,0.8605,0.0000,0.0000,0.0000,0.0000
1461247573_547011261,1.0000,0.7476,0.8263,0.8870,0.8556,0.0000,0.0000,0.0000,0.0000
1461247576_547043985,1.0000,0.7978,0.8282,0.9559,0.8875,0.0000,0.0000,0.0000,0.0000
1461247577_547048476,0.9999,0.3189,0.7108,0.3665,0.4836,0.0000,0.0000,0.0000,0.0000
1461247582_547138351,1.0000,0.6859,0.9640,0.7039,0.8137,0.0000,0.0000,0.0000,0.0000
1461247584_547169958,0.9999,0.5644,0.5659,0.9955,0.7216,0.0000,0.0000,0.0000,0.0000
1461247585_547211152,0.9998,0.4349,0.4448,0.9515,0.6062,0.0000,0.0000,0.0000,0.0000
1461247586_547185459,0.9999,0.4527,0.4636,0.9503,0.6232,0.0000,0.0000,0.0000,0.0000
1461247587_547194822,0.9998,0.4298,0.4382,0.9571,0.6012,0.0000,0.0000,0.0000,0.0000
1461247588_547205654,0.9999,0.7017,0.7906,0.8619,0.8247,0.0000,0.0000,0.0000,0.0000
1461247591_547291155,0.9998,0.3821,0.3939,0.9277,0.5530,0.0000,0.0000,0.0000,0.0000
1461247592_547283923,0.9998,0.3934,0.4116,0.8987,0.5646,0.0000,0.0000,0.0000,0.0000
1461247593_547297129,0.9999,0.6753,0.8012,0.8111,0.8062,0.0000,0.0000,0.0000,0.0000
1461247594_547310058,0.9998,0.4068,0.4144,0.9568,0.5784,0.0000,0.0000,0.0000,0.0000
1461247595_547321111,0.9998,0.4409,0.4432,0.9880,0.6119,0.0000,0.0000,0.0000,0.0000
1461247596_547347369,0.9998,0.4033,0.4169,0.9250,0.5748,0.0000,0.0000,0.0000,0.0000
1461247597_547342617,0.9998,0.4678,0.4744,0.9709,0.6374,0.0000,0.0000,0.0000,0.0000
1461247598_547356296,0.9998,0.4105,0.4149,0.9750,0.5821,0.0000,0.0000,0.0000,0.0000
1461247600_547376347,0.9998,0.4072,0.4311,0.8802,0.5787,0.0000,0.0000,0.0000,0.0000
1461247601_547389766,0.9998,0.3946,0.4207,0.8639,0.5659,0.0000,0.0000,0.0000,0.0000
1461247604_547476154,0.9998,0.4000,0.4086,0.9500,0.5714,0.0000,0.0000,0.0000,0.0000
1461247605_547483472,0.9998,0.3172,0.3503,0.7706,0.4816,0.0000,0.0000,0.0000,0.0000
1461247606_547528582,0.9999,0.7178,0.8101,0.8631,0.8357,0.0000,0.0000,0.0000,0.0000
1461247607_547501610,0.9998,0.4298,0.4347,0.9745,0.6012,0.0000,0.0000,0.0000,0.0000
1461247609_547563332,0.9999,0.7010,0.7989,0.8512,0.8242,0.0000,0.0000,0.0000,0.0000
