Epoch 1: Train Loss=0.3678, Train IoU=0.5931, Val Loss=0.2542, Val IoU=0.7284, LR=4.88e-05
Epoch 2: Train Loss=0.2689, Train IoU=0.7258, Val Loss=0.2580, Val IoU=0.6740, LR=4.73e-05
Epoch 3: Train Loss=0.2424, Train IoU=0.7451, Val Loss=0.1809, Val IoU=0.7620, LR=4.53e-05
Epoch 4: Train Loss=0.2339, Train IoU=0.7503, Val Loss=0.1557, Val IoU=0.7628, LR=4.28e-05
Epoch 5: Train Loss=0.2113, Train IoU=0.7610, Val Loss=0.1469, Val IoU=0.7830, LR=3.99e-05
Epoch 6: Train Loss=0.2012, Train IoU=0.7674, Val Loss=0.1484, Val IoU=0.7898, LR=3.66e-05
Epoch 7: Train Loss=0.1892, Train IoU=0.7747, Val Loss=0.1509, Val IoU=0.7660, LR=3.31e-05
Epoch 8: Train Loss=0.1880, Train IoU=0.7770, Val Loss=0.1473, Val IoU=0.7563, LR=2.93e-05
Epoch 9: Train Loss=0.1694, Train IoU=0.7843, Val Loss=0.1402, Val IoU=0.7779, LR=2.55e-05
Epoch 10: Train Loss=0.1693, Train IoU=0.7857, Val Loss=0.1320, Val IoU=0.7777, LR=2.17e-05
Epoch 11: Train Loss=0.1609, Train IoU=0.7949, Val Loss=0.1386, Val IoU=0.7971, LR=1.79e-05
Epoch 12: Train Loss=0.1567, Train IoU=0.7972, Val Loss=0.1274, Val IoU=0.7941, LR=1.44e-05
Epoch 13: Train Loss=0.1480, Train IoU=0.8004, Val Loss=0.1311, Val IoU=0.7933, LR=1.11e-05
Epoch 14: Train Loss=0.1428, Train IoU=0.8021, Val Loss=0.1259, Val IoU=0.7948, LR=8.18e-06
Epoch 15: Train Loss=0.1408, Train IoU=0.8055, Val Loss=0.1253, Val IoU=0.8058, LR=5.68e-06
Epoch 16: Train Loss=0.1337, Train IoU=0.8082, Val Loss=0.1258, Val IoU=0.8028, LR=3.67e-06
Epoch 17: Train Loss=0.1291, Train IoU=0.8099, Val Loss=0.1254, Val IoU=0.7991, LR=2.20e-06
Epoch 18: Train Loss=0.1246, Train IoU=0.8135, Val Loss=0.1263, Val IoU=0.8047, LR=1.30e-06
Epoch 19: Train Loss=0.1279, Train IoU=0.8127, Val Loss=0.1265, Val IoU=0.8080, LR=1.00e-06
Epoch 20: Train Loss=0.1755, Train IoU=0.7840, Val Loss=0.1449, Val IoU=0.7837, LR=4.99e-05
Epoch 21: Train Loss=0.1735, Train IoU=0.7847, Val Loss=0.1338, Val IoU=0.7720, LR=4.97e-05
Epoch 22: Train Loss=0.1608, Train IoU=0.7909, Val Loss=0.1321, Val IoU=0.7841, LR=4.93e-05
Epoch 23: Train Loss=0.1585, Train IoU=0.7971, Val Loss=0.1440, Val IoU=0.7751, LR=4.88e-05
Epoch 24: Train Loss=0.1531, Train IoU=0.7944, Val Loss=0.1383, Val IoU=0.7787, LR=4.81e-05
Epoch 25: Train Loss=0.1454, Train IoU=0.8028, Val Loss=0.1299, Val IoU=0.8106, LR=4.73e-05
