img_id,split,global_acc,bg_precision,bg_recall,bg_f1,bg_dice,bg_boundary_f1,crop_precision,crop_recall,crop_f1,crop_dice,crop_boundary_f1,weed_precision,weed_recall,weed_f1,weed_dice,weed_boundary_f1,weed_gt_count,weed_pred_count,weed_hit,weed_miss,weed_false_pos,weed_det_rate,weed_fa_rate,weed_centroid_dist,weed_size_ratio,crop_gt_count,crop_pred_count,crop_det_rate,crop_fa_rate
bonirob_2016-05-23-11-12-51_7_frame0_rot15,train,0.9976005554195413,0.9986832024512391,0.9988067540113423,0.9987449244102509,0.9987449244102509,0.8979458212852478,0.9740811373008488,0.9714705627995895,0.9727740485935845,0.9727740485935845,0.905855119228363,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame226_crop,train,0.9892692565914195,0.9922640700924518,0.9948991018575337,0.9935797889136185,0.9935797889136185,0.8709099888801575,0.9834249981140073,0.978926053694868,0.981170318697773,0.981170318697773,0.8987037539482117,0.8458938830400171,0.7456061959861303,0.792590197165214,0.792590197165214,0.720626950263977,10,20,8,2,0,0.7999999920000002,0.0,0.5886235074544007,0.8622047240699982,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame305_crop,train,0.9781608581539237,0.9876779785641446,0.9868292161642711,0.9872533649395586,0.9872533649395586,0.8558179140090942,0.9794553938228326,0.9775491763329565,0.9785013067037408,0.9785013067037408,0.8936949968338013,0.8860624198337491,0.8945142215853316,0.8902682117726868,0.8902682117726868,0.7855207920074463,11,34,10,1,0,0.9090909008264464,0.0,5.597022073322073,0.9052772932919769,1,2,0.9999999000000099,0.0
bonirob_2016-05-23-10-47-22_2_frame189_hflip,train,0.9912185668941531,0.9956198077789693,0.9946432270853174,0.9951312278382362,0.9951312278382362,0.8450765609741211,0.9696011563260779,0.9731175483885347,0.9713561199582126,0.9713561199582126,0.8628109693527222,0.8400646203327932,0.8759124087345337,0.8576140236651,0.8576140236651,0.7616720795631409,5,10,5,0,0,0.9999999800000003,0.0,19.955297556778543,0.42061954815812425,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-42-16_1_frame302_brightness,train,0.9738960266109566,0.9852061328504237,0.9864436853272641,0.9858244706993766,0.9858244706993766,0.8270317912101746,0.9359678782656807,0.9407391673646904,0.9383474076175042,0.9383474076175042,0.8374117612838745,0.761311710413392,0.738099374559259,0.7495258177776147,0.7495258177776147,0.6777550578117371,11,27,9,2,1,0.8181818107438018,0.037037036899862825,55.33601548417471,0.7081226812883464,1,1,0.9999999000000099,0.0
bonirob_2016-05-23-10-42-16_1_frame55_noise,train,0.9923629760738402,0.995986453227457,0.9955927313706708,0.9957895033809822,0.9957895033809822,0.859825611114502,0.9563479672706154,0.9619951001886927,0.9591631718408521,0.9591631718408521,0.8874439001083374,0.9586296823025292,0.9586296823025292,0.9586296323025318,0.9586296323025318,0.80950927734375,6,7,6,0,0,0.9999999833333336,0.0,0.32444483655333145,1.0042478760494222,3,3,0.9999999666666678,0.0
bonirob_2016-05-23-10-42-16_1_frame90_hue,train,0.9844932556148588,0.9903540440805862,0.9934094692357892,0.9918793536502976,0.9918793536502976,0.8490609526634216,0.9339488636031978,0.9413027916628024,0.9376113581669887,0.9376113581669887,0.8770971298217773,0.8311568242132074,0.7613804785013616,0.7947399909734435,0.7947399909734435,0.748814582824707,10,23,9,1,0,0.8999999910000002,0.0,29.326167370197023,3.034632975255135,1,1,0.9999999000000099,0.0
bonirob_2016-05-09-10-49-56_6_frame75_vflip,train,0.9962615966793075,0.9979945826680172,0.998218295515207,0.9981063765560187,0.9981063765560187,0.8452441096305847,0.8481751823579307,0.8870229006279354,0.8671641290001142,0.8671641290001142,0.8462703227996826,0.8657894736516621,0.8380640465488333,0.851701133413697,0.851701133413697,0.7526667714118958,5,6,5,0,0,0.9999999800000003,0.0,2.523282062345217,1.0034934497378387,1,2,0.9999999000000099,0.0
bonirob_2016-05-23-10-42-16_1_frame2_crop,train,0.9960327148433701,0.9977459533252202,0.9980896081890535,0.9979177011708692,0.9979177011708692,0.8489565849304199,0.9661072451824305,0.9580289007878061,0.9620510648179705,0.9620510648179705,0.8870081305503845,0.5961538457716963,0.6690647477200974,0.630508424314856,0.630508424314856,0.512583315372467,1,2,1,0,1,0.9999999000000099,0.4999999750000013,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-10-52-28_3_frame141_hflip,train,0.9770088195797054,0.9865087871514544,0.9878406637162049,0.9871742261984922,0.9871742261984922,0.8277205228805542,0.0,0.0,0.0,0.0,0.0,0.8943688027197929,0.8840007313919034,0.8891544936138289,0.8891544936138289,0.7431104779243469,13,39,12,1,1,0.9230769159763315,0.02564102557527942,50.45050852890341,1.403575948711867,0,0,0.0,0.0
bonirob_2016-05-23-11-07-45_6_frame259,train,0.9946289062496205,0.9975110619464782,0.996502010387288,0.9970062308563733,0.9970062308563733,0.8686212301254272,0.9696354781546279,0.978225266131995,0.9739113822745569,0.9739113822745569,0.8884303569793701,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,4,3,0.7499999812500004,0.0
bonirob_2016-05-23-10-47-22_2_frame118_crop,train,0.9904403686519659,0.9944152220276014,0.9955327756991846,0.9949736350546559,0.9949736350546559,0.8626892566680908,0.9862007848969971,0.9450442799836825,0.9651839420811269,0.9651839420811269,0.8899317383766174,0.7915715175256057,0.8022301704018046,0.7968651537473415,0.7968651537473415,0.7692428231239319,4,15,4,0,1,0.9999999750000006,0.06666666622222223,37.823634959175344,0.6695422899062331,2,3,0.9999999500000026,0.0
_2016-05-27-10-26-48_5_frame237_hue,train,0.9955177307125108,0.997880339312196,0.997218747393463,0.9975493836580686,0.9975493836580686,0.8869717717170715,0.9703331405908004,0.9772442214613095,0.9737763688594095,0.9737763688594095,0.8909565806388855,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,2,3,0.9999999500000026,0.0
bonirob_2016-05-23-11-07-45_6_frame260_brightness,train,0.9948692321773549,0.9973579240827805,0.9968747722523517,0.9971162396398753,0.9971162396398753,0.8794292211532593,0.9748568669346249,0.9786710986427801,0.9767602091760834,0.9767602091760834,0.8927563428878784,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,2,2,0.9999999500000026,0.0
bonirob_2016-05-23-11-07-45_6_frame246,train,0.9953956604000109,0.9982438944699019,0.9968312486996713,0.9975370214612778,0.9975370214612778,0.8497960567474365,0.9552662036981755,0.9746117966524496,0.9648419875830444,0.9648419875830444,0.891743540763855,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,nan,4,4,0.9999999750000006,0.0
bonirob_2016-05-23-10-42-16_1_frame208,train,0.9835128784175936,0.9911735934733094,0.9894509097745992,0.9903114524564667,0.9903114524564667,0.841271698474884,0.9591945051484259,0.9657372772106819,0.9624547218597896,0.9624547218597896,0.8367424607276917,0.8556473829083244,0.8762872055173326,0.8658442597030291,0.8658442597030291,0.7749066948890686,11,15,10,1,0,0.9090909008264464,0.0,21.620025697261973,1.7977884132472681,3,6,0.9999999666666678,0.0
bonirob_2016-05-23-10-57-33_4_frame18_crop,train,0.9864730834957174,0.9940488781134602,0.991548187099932,0.9927969079027116,0.9927969079027116,0.8091920018196106,0.0,0.0,0.0,0.0,0.0,0.8722712778950682,0.9067440081533226,0.8891735967190572,0.8891735967190572,0.7837567329406738,11,19,11,0,2,0.9999999909090911,0.10526315734072021,55.67404227636866,30.18192740837647,0,0,0.0,0.0
