Epoch 1: Train Loss=0.1597, Train IoU=0.6654, Val Loss=0.0988, Val IoU=0.7532, LR=4.88e-05
Epoch 2: Train Loss=0.1028, Train IoU=0.7529, Val Loss=0.2469, Val IoU=0.5066, LR=4.73e-05
Epoch 3: Train Loss=0.0947, Train IoU=0.7685, Val Loss=0.0714, Val IoU=0.8089, LR=4.53e-05
Epoch 4: Train Loss=0.0874, Train IoU=0.7827, Val Loss=0.0698, Val IoU=0.8141, LR=4.28e-05
Epoch 5: Train Loss=0.0829, Train IoU=0.7908, Val Loss=0.0663, Val IoU=0.8204, LR=3.99e-05
Epoch 6: Train Loss=0.0814, Train IoU=0.7942, Val Loss=0.0645, Val IoU=0.8246, LR=3.66e-05
Epoch 7: Train Loss=0.0785, Train IoU=0.8003, Val Loss=0.0650, Val IoU=0.8245, LR=3.31e-05
Epoch 8: Train Loss=0.0765, Train IoU=0.8040, Val Loss=0.0620, Val IoU=0.8315, LR=2.93e-05
Epoch 9: Train Loss=0.0724, Train IoU=0.8124, Val Loss=0.0638, Val IoU=0.8252, LR=2.55e-05
Epoch 10: Train Loss=0.0715, Train IoU=0.8142, Val Loss=0.0608, Val IoU=0.8330, LR=2.17e-05
Epoch 11: Train Loss=0.0697, Train IoU=0.8176, Val Loss=0.0597, Val IoU=0.8354, LR=1.79e-05
Epoch 12: Train Loss=0.0685, Train IoU=0.8201, Val Loss=0.0591, Val IoU=0.8371, LR=1.44e-05
Epoch 13: Train Loss=0.0667, Train IoU=0.8235, Val Loss=0.0604, Val IoU=0.8344, LR=1.11e-05
Epoch 14: Train Loss=0.0653, Train IoU=0.8274, Val Loss=0.0584, Val IoU=0.8382, LR=8.18e-06
Epoch 15: Train Loss=0.0645, Train IoU=0.8289, Val Loss=0.0585, Val IoU=0.8385, LR=5.68e-06
Epoch 16: Train Loss=0.0634, Train IoU=0.8309, Val Loss=0.0576, Val IoU=0.8398, LR=3.67e-06
Epoch 17: Train Loss=0.0621, Train IoU=0.8341, Val Loss=0.0600, Val IoU=0.8346, LR=2.20e-06
Epoch 18: Train Loss=0.0606, Train IoU=0.8369, Val Loss=0.0577, Val IoU=0.8399, LR=1.30e-06
Epoch 19: Train Loss=0.0623, Train IoU=0.8339, Val Loss=0.0574, Val IoU=0.8403, LR=1.00e-06
Epoch 20: Train Loss=0.0742, Train IoU=0.8097, Val Loss=0.0597, Val IoU=0.8362, LR=4.99e-05
Epoch 21: Train Loss=0.0701, Train IoU=0.8172, Val Loss=0.0603, Val IoU=0.8339, LR=4.97e-05
Epoch 22: Train Loss=0.0706, Train IoU=0.8161, Val Loss=0.0605, Val IoU=0.8330, LR=4.93e-05
Epoch 23: Train Loss=0.0694, Train IoU=0.8184, Val Loss=0.0593, Val IoU=0.8365, LR=4.88e-05
Epoch 24: Train Loss=0.0679, Train IoU=0.8218, Val Loss=0.0615, Val IoU=0.8307, LR=4.81e-05
Epoch 25: Train Loss=0.0662, Train IoU=0.8254, Val Loss=0.0598, Val IoU=0.8353, LR=4.73e-05
Epoch 26: Train Loss=0.0651, Train IoU=0.8275, Val Loss=0.0576, Val IoU=0.8413, LR=4.64e-05
Epoch 27: Train Loss=0.0662, Train IoU=0.8256, Val Loss=0.0607, Val IoU=0.8332, LR=4.53e-05
Epoch 28: Train Loss=0.0641, Train IoU=0.8306, Val Loss=0.0556, Val IoU=0.8449, LR=4.41e-05
Epoch 29: Train Loss=0.0624, Train IoU=0.8334, Val Loss=0.0573, Val IoU=0.8410, LR=4.28e-05
Epoch 30: Train Loss=0.0618, Train IoU=0.8356, Val Loss=0.0596, Val IoU=0.8362, LR=4.14e-05
Epoch 31: Train Loss=0.0611, Train IoU=0.8359, Val Loss=0.0563, Val IoU=0.8431, LR=3.99e-05
Epoch 32: Train Loss=0.0608, Train IoU=0.8371, Val Loss=0.0563, Val IoU=0.8431, LR=3.83e-05
Epoch 33: Train Loss=0.0588, Train IoU=0.8412, Val Loss=0.0648, Val IoU=0.8250, LR=3.66e-05
Epoch 34: Train Loss=0.0590, Train IoU=0.8410, Val Loss=0.0675, Val IoU=0.8159, LR=3.49e-05
Epoch 35: Train Loss=0.0580, Train IoU=0.8435, Val Loss=0.0580, Val IoU=0.8375, LR=3.31e-05
Epoch 36: Train Loss=0.0579, Train IoU=0.8434, Val Loss=0.0574, Val IoU=0.8383, LR=3.12e-05
Epoch 37: Train Loss=0.0573, Train IoU=0.8457, Val Loss=0.0547, Val IoU=0.8467, LR=2.93e-05
Epoch 38: Train Loss=0.0553, Train IoU=0.8496, Val Loss=0.0536, Val IoU=0.8490, LR=2.74e-05
Epoch 39: Train Loss=0.0550, Train IoU=0.8496, Val Loss=0.0519, Val IoU=0.8523, LR=2.55e-05
Epoch 40: Train Loss=0.0543, Train IoU=0.8511, Val Loss=0.0548, Val IoU=0.8458, LR=2.36e-05
